phasespace_timestamp,system_timestamp,id,marker_time,condition,position.x,position.y,position.z
2022.08.03 04:57.28.165,2022.08.03 06:57.28.164,0,104842,Normal,0.47049,0.78429,-0.30855
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,1,104842,Great,0.47305,0.77247,-0.28767
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,2,104842,Great,0.45808,0.76056,-0.27320
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,3,104842,Great,0.43910,0.75438,-0.25649
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,4,104842,Great,0.50425,0.76067,-0.31616
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,5,104842,Great,0.50619,0.75215,-0.29032
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,6,104842,Great,0.49004,0.73275,-0.28653
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,7,104842,Great,0.46609,0.73522,-0.26486
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,8,104842,Great,0.44222,0.77390,-0.36295
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,9,104842,Great,0.42191,0.78558,-0.36136
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,10,104842,Great,0.38872,0.79840,-0.35616
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,11,104842,Great,0.38488,0.82090,-0.28869
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,12,104842,Great,0.43113,0.81145,-0.31187
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,13,104842,Great,0.42589,0.79793,-0.28295
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,14,104842,Great,0.41820,0.78369,-0.26755
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,15,104842,Great,0.40678,0.77046,-0.25332
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,0,104843,Normal,0.47047,0.78425,-0.30850
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,1,104843,Great,0.47306,0.77243,-0.28768
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,2,104843,Great,0.45816,0.76063,-0.27314
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,3,104843,Great,0.43913,0.75438,-0.25647
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,4,104843,Great,0.50428,0.76062,-0.31618
2022.08.03 04:57.28.165,2022.08.03 06:57.28.165,5,104843,Great,0.50618,0.75211,-0.29032
2022.08.03 04:57.28.165,2022.08.03 06:57.28.166,6,104843,Great,0.49007,0.73276,-0.28651
2022.08.03 04:57.28.165,2022.08.03 06:57.28.166,7,104843,Great,0.46609,0.73519,-0.26486
2022.08.03 04:57.28.165,2022.08.03 06:57.28.166,8,104843,Great,0.44222,0.77385,-0.36295
