phasespace_timestamp,system_timestamp,id,marker_time,condition,position.x,position.y,position.z
2022.08.03 04:56.54.493,2022.08.03 06:56.54.493,0,96761,Good,0.47064,0.78404,-0.30505
2022.08.03 04:56.54.493,2022.08.03 06:56.54.493,1,96761,Great,0.46840,0.76348,-0.29903
2022.08.03 04:56.54.493,2022.08.03 06:56.54.493,2,96761,Good,0.45754,0.75894,-0.27829
2022.08.03 04:56.54.493,2022.08.03 06:56.54.493,3,96761,Great,0.44106,0.75680,-0.25611
2022.08.03 04:56.54.493,2022.08.03 06:56.54.494,4,96761,Great,0.49128,0.74933,-0.32304
2022.08.03 04:56.54.493,2022.08.03 06:56.54.494,5,96761,Great,0.48162,0.73137,-0.31961
2022.08.03 04:56.54.493,2022.08.03 06:56.54.494,6,96761,Great,0.47848,0.72680,-0.30216
2022.08.03 04:56.54.493,2022.08.03 06:56.54.494,7,96761,Great,0.46391,0.73520,-0.27190
2022.08.03 04:56.54.493,2022.08.03 06:56.54.494,8,96761,Great,0.45046,0.83171,-0.34659
2022.08.03 04:56.54.493,2022.08.03 06:56.54.494,9,96761,Great,0.42771,0.82997,-0.34654
2022.08.03 04:56.54.493,2022.08.03 06:56.54.494,10,96761,Great,0.39440,0.82624,-0.34641
2022.08.03 04:56.54.493,2022.08.03 06:56.54.494,11,96761,Great,0.38470,0.82529,-0.28145
2022.08.03 04:56.54.493,2022.08.03 06:56.54.494,12,96761,Great,0.43417,0.81925,-0.30255
2022.08.03 04:56.54.493,2022.08.03 06:56.54.494,13,96761,Great,0.42829,0.80170,-0.27728
2022.08.03 04:56.54.493,2022.08.03 06:56.54.494,14,96761,Great,0.42056,0.78791,-0.26311
2022.08.03 04:56.54.493,2022.08.03 06:56.54.494,15,96761,Great,0.40935,0.77335,-0.24918
2022.08.03 04:56.54.494,2022.08.03 06:56.54.494,0,96762,Good,0.47070,0.78402,-0.30509
2022.08.03 04:56.54.494,2022.08.03 06:56.54.494,1,96762,Great,0.46839,0.76348,-0.29904
2022.08.03 04:56.54.494,2022.08.03 06:56.54.494,2,96762,Good,0.45752,0.75893,-0.27830
2022.08.03 04:56.54.494,2022.08.03 06:56.54.494,3,96762,Great,0.44108,0.75683,-0.25612
2022.08.03 04:56.54.494,2022.08.03 06:56.54.494,4,96762,Great,0.49127,0.74934,-0.32303
2022.08.03 04:56.54.494,2022.08.03 06:56.54.494,5,96762,Great,0.48161,0.73137,-0.31962
2022.08.03 04:56.54.494,2022.08.03 06:56.54.494,6,96762,Great,0.47847,0.72681,-0.30216
2022.08.03 04:56.54.494,2022.08.03 06:56.54.494,7,96762,Great,0.46391,0.73521,-0.27191
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,8,96762,Great,0.45045,0.83173,-0.34659
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,9,96762,Great,0.42779,0.83000,-0.34652
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,10,96762,Great,0.39439,0.82624,-0.34642
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,11,96762,Great,0.38470,0.82531,-0.28142
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,12,96762,Great,0.43411,0.81922,-0.30259
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,13,96762,Great,0.42840,0.80165,-0.27729
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,14,96762,Great,0.42057,0.78793,-0.26309
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,0,96763,Good,0.47065,0.78406,-0.30502
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,1,96763,Great,0.46838,0.76349,-0.29904
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,2,96763,Good,0.45751,0.75896,-0.27828
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,3,96763,Great,0.44109,0.75684,-0.25610
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,4,96763,Great,0.49125,0.74937,-0.32302
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,5,96763,Great,0.48162,0.73140,-0.31960
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,6,96763,Great,0.47849,0.72684,-0.30216
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,7,96763,Great,0.46392,0.73522,-0.27191
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,8,96763,Great,0.45045,0.83173,-0.34659
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,9,96763,Great,0.42779,0.82998,-0.34654
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,10,96763,Great,0.39439,0.82625,-0.34641
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,11,96763,Great,0.38472,0.82531,-0.28146
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,12,96763,Great,0.43412,0.81924,-0.30258
2022.08.03 04:56.54.494,2022.08.03 06:56.54.495,13,96763,Great,0.42832,0.80168,-0.27730
2022.08.03 04:56.54.494,2022.08.03 06:56.54.496,14,96763,Great,0.42057,0.78791,-0.26310
2022.08.03 04:56.54.505,2022.08.03 06:56.54.505,0,96764,Good,0.47070,0.78406,-0.30509
2022.08.03 04:56.54.505,2022.08.03 06:56.54.505,1,96764,Great,0.46838,0.76349,-0.29905
2022.08.03 04:56.54.505,2022.08.03 06:56.54.505,2,96764,Good,0.45750,0.75884,-0.27842
2022.08.03 04:56.54.505,2022.08.03 06:56.54.505,3,96764,Great,0.44108,0.75684,-0.25611
2022.08.03 04:56.54.505,2022.08.03 06:56.54.505,4,96764,Great,0.49125,0.74936,-0.32302
2022.08.03 04:56.54.505,2022.08.03 06:56.54.505,5,96764,Great,0.48162,0.73141,-0.31962
2022.08.03 04:56.54.505,2022.08.03 06:56.54.505,6,96764,Great,0.47848,0.72682,-0.30215
2022.08.03 04:56.54.505,2022.08.03 06:56.54.505,7,96764,Great,0.46391,0.73522,-0.27192
2022.08.03 04:56.54.505,2022.08.03 06:56.54.505,8,96764,Great,0.45044,0.83172,-0.34661
2022.08.03 04:56.54.505,2022.08.03 06:56.54.505,9,96764,Great,0.42776,0.83000,-0.34652
2022.08.03 04:56.54.505,2022.08.03 06:56.54.505,10,96764,Great,0.39439,0.82625,-0.34642
2022.08.03 04:56.54.505,2022.08.03 06:56.54.505,11,96764,Great,0.38469,0.82533,-0.28142
2022.08.03 04:56.54.505,2022.08.03 06:56.54.505,12,96764,Great,0.43411,0.81926,-0.30257
2022.08.03 04:56.54.505,2022.08.03 06:56.54.505,13,96764,Great,0.42828,0.80170,-0.27730
2022.08.03 04:56.54.505,2022.08.03 06:56.54.505,14,96764,Great,0.42056,0.78794,-0.26308
2022.08.03 04:56.54.505,2022.08.03 06:56.54.505,1,96765,Great,0.46838,0.76350,-0.29905
2022.08.03 04:56.54.505,2022.08.03 06:56.54.505,3,96765,Great,0.44107,0.75684,-0.25611
2022.08.03 04:56.54.505,2022.08.03 06:56.54.505,4,96765,Great,0.49123,0.74936,-0.32302
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,5,96765,Great,0.48161,0.73141,-0.31962
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,6,96765,Great,0.47844,0.72681,-0.30214
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,7,96765,Great,0.46391,0.73522,-0.27192
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,8,96765,Great,0.45045,0.83174,-0.34659
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,9,96765,Great,0.42776,0.82998,-0.34653
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,10,96765,Great,0.39438,0.82625,-0.34641
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,11,96765,Great,0.38468,0.82531,-0.28144
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,12,96765,Great,0.43412,0.81927,-0.30257
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,13,96765,Great,0.42826,0.80171,-0.27730
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,14,96765,Great,0.42055,0.78795,-0.26310
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,1,96766,Great,0.46837,0.76350,-0.29905
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,3,96766,Great,0.44108,0.75685,-0.25611
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,4,96766,Great,0.49124,0.74935,-0.32304
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,5,96766,Great,0.48163,0.73142,-0.31962
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,6,96766,Great,0.47846,0.72684,-0.30214
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,7,96766,Great,0.46394,0.73526,-0.27192
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,8,96766,Great,0.45044,0.83173,-0.34660
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,9,96766,Great,0.42775,0.83000,-0.34653
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,10,96766,Great,0.39437,0.82625,-0.34642
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,11,96766,Great,0.38470,0.82533,-0.28145
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,12,96766,Great,0.43410,0.81926,-0.30257
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,13,96766,Great,0.42827,0.80172,-0.27729
2022.08.03 04:56.54.505,2022.08.03 06:56.54.506,14,96766,Great,0.42054,0.78794,-0.26309
2022.08.03 04:56.54.510,2022.08.03 06:56.54.510,1,96767,Great,0.46837,0.76350,-0.29905
2022.08.03 04:56.54.510,2022.08.03 06:56.54.510,3,96767,Great,0.44105,0.75684,-0.25613
2022.08.03 04:56.54.510,2022.08.03 06:56.54.510,4,96767,Great,0.49125,0.74936,-0.32303
2022.08.03 04:56.54.510,2022.08.03 06:56.54.510,5,96767,Great,0.48162,0.73142,-0.31963
2022.08.03 04:56.54.510,2022.08.03 06:56.54.511,6,96767,Great,0.47845,0.72683,-0.30214
2022.08.03 04:56.54.510,2022.08.03 06:56.54.511,7,96767,Great,0.46392,0.73525,-0.27192
2022.08.03 04:56.54.510,2022.08.03 06:56.54.511,8,96767,Great,0.45044,0.83174,-0.34659
2022.08.03 04:56.54.510,2022.08.03 06:56.54.511,9,96767,Great,0.42776,0.82999,-0.34653
2022.08.03 04:56.54.510,2022.08.03 06:56.54.511,10,96767,Great,0.39437,0.82625,-0.34642
2022.08.03 04:56.54.510,2022.08.03 06:56.54.511,11,96767,Great,0.38468,0.82531,-0.28146
2022.08.03 04:56.54.510,2022.08.03 06:56.54.511,12,96767,Great,0.43410,0.81926,-0.30258
2022.08.03 04:56.54.510,2022.08.03 06:56.54.511,13,96767,Great,0.42826,0.80172,-0.27731
2022.08.03 04:56.54.510,2022.08.03 06:56.54.511,14,96767,Great,0.42053,0.78792,-0.26312
2022.08.03 04:56.54.521,2022.08.03 06:56.54.521,1,96768,Great,0.46836,0.76351,-0.29904
2022.08.03 04:56.54.521,2022.08.03 06:56.54.521,3,96768,Great,0.44104,0.75684,-0.25613
2022.08.03 04:56.54.521,2022.08.03 06:56.54.521,4,96768,Great,0.49124,0.74936,-0.32303
2022.08.03 04:56.54.521,2022.08.03 06:56.54.521,5,96768,Great,0.48162,0.73142,-0.31963
2022.08.03 04:56.54.521,2022.08.03 06:56.54.521,6,96768,Great,0.47844,0.72683,-0.30216
2022.08.03 04:56.54.521,2022.08.03 06:56.54.521,7,96768,Great,0.46390,0.73524,-0.27193
2022.08.03 04:56.54.521,2022.08.03 06:56.54.521,8,96768,Great,0.45044,0.83175,-0.34659
2022.08.03 04:56.54.521,2022.08.03 06:56.54.521,9,96768,Great,0.42773,0.83001,-0.34653
2022.08.03 04:56.54.521,2022.08.03 06:56.54.521,10,96768,Great,0.39436,0.82626,-0.34642
2022.08.03 04:56.54.521,2022.08.03 06:56.54.521,11,96768,Great,0.38471,0.82530,-0.28149
2022.08.03 04:56.54.521,2022.08.03 06:56.54.521,12,96768,Great,0.43410,0.81926,-0.30258
2022.08.03 04:56.54.521,2022.08.03 06:56.54.521,13,96768,Great,0.42827,0.80172,-0.27732
2022.08.03 04:56.54.521,2022.08.03 06:56.54.521,14,96768,Great,0.42055,0.78794,-0.26310
2022.08.03 04:56.54.521,2022.08.03 06:56.54.521,1,96769,Great,0.46837,0.76352,-0.29903
2022.08.03 04:56.54.521,2022.08.03 06:56.54.521,3,96769,Great,0.44106,0.75686,-0.25612
2022.08.03 04:56.54.521,2022.08.03 06:56.54.521,4,96769,Great,0.49122,0.74939,-0.32302
